barcode,product_name,brands,sugars_100g,fat_100g,fiber_100g,salt_100g,proteins_100g,energy_kcal_100g,quantity_grams,has_ingredients,nutrition_grades,sugar_pct_dv,sugar_tier,high_sugar_flag,shelf_location,units_sold_last_month,sugar_pct_dv_scaled
5010029000016,Weetabix,Weetabix,4.2,2,10,0.28,12,400,430.0,True,a,8.4,moderate,0,Aisle 1A,458,0.16153846153846155
3168930010265,cruesly mélange de noix,Quaker,12,19,10,0,8.5,462,450.0,True,b,24.0,high,1,Endcap-South,800,0.46153846153846156
5010029000801,Weetabix,Weetabix,4,2,9.5,0.24375,11.25,136,860.0,True,a,8.0,moderate,0,Endcap-South,313,0.15384615384615385
20003166,Copos de Avena Suaves,Crownfield,0.7,7,10,0.03,13.5,372.5,500.0,True,a,1.4,low,0, Aisle 3C,369,0.02692307692307692
3229820019307,Flocons d'avoine,Bjorg,1.7,7.1,11,0.02,11,363.333333333333,500.0,True,a,3.4000000000000004,low,0,Aisle 2B,493,0.06538461538461539
3229820160672,Croustillant Chocolat,Bjorg,14,14,10,0.26,9.27,431.666666666667,500.0,True,c,28.000000000000004,high,1,Aisle 1A,0,0.5384615384615385
5010029000023,Weetabix,Weetabix,4.27,2.13,10.1,0.26,12,362.666666666667,430.0,True,a,8.54,moderate,0,Aisle 4B,null,0.1642307692307692
4088600247519,Wheat Bisks,Harvest Morn,4.4,2,10,0.28,12,358,684.0,True,a,8.8,moderate,0,Aisle 1A,1139,0.16923076923076924
3229820129488,"Muesli Raisin, Figue, Abricot",Bjorg,14,5.8,10,0.03,11,352,375.0,True,a,28.000000000000004,high,1,Aisle 4B,1094,0.5384615384615385
5010477348678,Special Muesli 30% fruits & noix,Jordans,17,7.2,8.8,0.03,10,360,750.0,True,a,34.0,high,1, Aisle 3C,590,0.6538461538461539
5000108022152,BRITISH PORRIDGE OATS,QUAKER,1,8,9,0,11,375,1.0,True,a,2.0,low,0,Aisle 2B,751,0.038461538461538464
3229820782560,"Muesli Superfruits Raisins, cassis, cranberry, myrtille",Bjorg,13,6,10,0.04,12,358.571428571429,375.0,True,a,26.0,high,1,Aisle 1A, 251 ,0.5
3159470000120,CORN FLAKES,Kellogg's,8,0.9,3,1.1,7,376.666666666667,500.0,True,d,16.0,moderate,0,Aisle 1A,818,0.3076923076923077
3168930009078,Flocons d'avoine complète,Quaker,1.1,8,9,0.01,11,375,550.0,True,a,2.2,low,0,Aisle 4B,192,0.04230769230769231
5010477348357,Country Crisp 4 noix,Jordans,18,20,6.1,0.03,11,465,550.0,True,c,36.0,high,1,Endcap-South,599,0.6923076923076923
4008713756661,Copos de avena,"Brüggen, H. & J. Brüggen KG",0.7,7,10,0.02,14,375,500.0,True,a,1.4,low,0,Endcap-South,1090,0.02692307692307692
5018357012497,simply nutty muesli,dorset cereals,14.2,6.8,8.6,0.03,9.9,376,560.0,True,a,28.4,high,1,Aisle 1A,189,0.5461538461538461
8402001010873,Muesli Crunchy,Hacendado,3.2,12,23,0.08,8.8,401,200.0,True,a,6.4,moderate,0,Aisle 2B,770,0.12307692307692308
