barcode,shelf_location,units_sold_last_month
2073825868663, Aisle 3C,985
5010029202410,Aisle 4B,186
7613287157201, Aisle 3C, 274 
7211276062231,Aisle 4B,466
7613287170989, Aisle 3C,1111
5490579235937,Aisle 4B,489
8480000094742,Aisle 4B,745
5010477353115,Endcap-South,0
20159917,Aisle 4B,1034
3168930003632,Aisle 2B,1129
8480000156112,Endcap-South,142
3229820796857,Aisle 2B,659
7613287194374,Aisle 4B,969
5010477354051,Aisle 2B,258
4056489195917,Aisle 2B,487
4008713756661,Endcap-South,1090
5010477348395,Aisle 1A,
3229820769165, Aisle 3C,1110
8480000095367,Aisle 4B,0
8410188012092,Aisle 1A,973
5900617002983,Aisle 2B,299
5018357012497,Aisle 1A,189
4088600056135,Endcap-South, 99 
8591926709665,Aisle 2B,894
5010477348517,Aisle 4B,266
3229820129488,Aisle 4B,1094
7613287366665,Aisle 2B,182
5000119117359,Endcap-South,621
5010477348678, Aisle 3C,590
3560070614202,Aisle 2B,149
5053827110983,Aisle 4B,1155
5010029226133,Endcap-South,1039
7613034626844,Aisle 2B,271
20621469,Endcap-South,59
3229820798110, Aisle 3C,181
3229820797861,Aisle 4B,1018
5070000126579,Endcap-South,
5059319014814, Aisle 3C,0
5010029229110,Aisle 1A,648
8480000229663,Endcap-South,73
5010029000801,Endcap-South,313
3168930010265,Endcap-South,800
5059319023762,Aisle 1A,793
5010029000504,Aisle 2B,310
7613031473113,Endcap-South,null
5060043224561,Endcap-South,494
3229820782560,Aisle 1A, 251 
8480000095718, Aisle 3C,845
5059319030517,Aisle 2B,667
7613287195210,Aisle 4B,951
5059319029702, Aisle 3C,108
5010029000023,Aisle 4B,null
5018357804764,Aisle 2B,1181
8034198201764,Endcap-South,89
20003166, Aisle 3C,369
20471613,Aisle 1A,626
5018357012411, Aisle 3C,1075
3159470005071, Aisle 3C,279
8402001015205,Endcap-South,165
5010477348630,Endcap-South,72
5000127062092,Aisle 2B,659
3229820786605,Aisle 1A,1148
5010477347312,Aisle 1A,853
5000127142190,Aisle 2B,595
5010029226188, Aisle 3C,680
5070000126548, Aisle 3C,927
3648010619300,Endcap-South,417
4684513780694,Aisle 2B,880
5000108022152,Aisle 2B,751
5010477348357,Endcap-South,599
2052440863048, Aisle 3C,61
5000108022176,Endcap-South,264
3387390326574,Endcap-South,237
1862320656151, Aisle 3C,549
00130509,Endcap-South,671
3159470000120,Aisle 1A,818
3229820019307,Aisle 2B,493
7613036669146,Endcap-South,796
3168930009795, Aisle 3C,1130
5018357012534,Aisle 2B,987
7613287514325,Endcap-South,652
5010029219326, Aisle 3C,1142
5000119117342,Aisle 2B,1127
5060482841565,Aisle 2B,
5000108280941,Aisle 4B,703
5099801003339, Aisle 3C,335
4088600247519,Aisle 1A,1139
5000436616443, Aisle 3C,229
3229820160672,Aisle 1A,0
20283360, Aisle 3C,621
8402001010873,Aisle 2B,770
3159470001424,Endcap-South,562
3168930009078,Aisle 4B,192
4214405970125,Aisle 1A,674
7613287152183, Aisle 3C,719
5059319029016,Aisle 4B,1111
5010029000016,Aisle 1A,458
5000436857112,Aisle 2B,219
5010477356239,Aisle 4B,791
5057753158422,Endcap-South,867
